Image,NetworkStyle,NetworkCyto,DownloadFile,Nodes,Edges,nodeDescription,edgeDescription,DatabaseName,DatabaseVersion,DatabaseFilters,Query,datasetEntryType,datasetNumEntries,edgeFormationMethodTool,EdgeFormationDescription,visualizationTool,Disease,Species,sampleTissueType,networkType,networkDescription,nodeLegendSize,nodeLegendColour,edgeLegendThickness,edgeLegendColour,notes/remarks,Curated
Breast_Endometrium_Ovarian_pathways.png,Breast_Endometrium_Ovarian_pathways/Breast_Endometrium_Ovarian_pathways.json,Breast_Endometrium_Ovarian_pathways/Breast_Endometrium_Ovarian_pathways.cyjs,NetworkFile/Breast_Endometrium_Ovarian_pathways/Breast_Endometrium_Ovarian_pathways_edge.csv,319,3215,"Common KEGG Pathways associated with Hormone Related Cancers (breast, endometrium, ovary)",KEGG-Pathways - functional interactions,KEGG,version 103,none ,"Breast, Endometrium, Ovary",Proteins,200/Disease,STRING db,pathways functional interactions,Cytoscape,"Breast, Endometrium, Ovary Cancer",Homo Sapiens (human),,Reactome Pathways,"Common Reactome Pathways based on proteins that associated with Hormone Related Cancers (breast, endometrium, ovary, prostate, testis, thyroid and osteosarcoma)",,"breast: RED, endometrium: BLUE, ovary: VIOLET-RED , prostate: CYAN, testis: YELLOW, thyroid: PURPLE, osteosarcoma: GREEN",,,,
Breast_Ovarian_Prostate_Testicular_Thyroid_Osteosarcoma.png,Breast_Ovarian_Prostate_Testicular_Thyroid_Osteosarcoma/Breast_Ovarian_Prostate_Testicular_Thyroid_Osteosarcoma_styles.json,Breast_Ovarian_Prostate_Testicular_Thyroid_Osteosarcoma/Breast_Ovarian_Prostate_Testicular_Thyroid_Osteosarcoma.cyjs,NetworkFile/Breast_Ovarian_Prostate_Testicular_Thyroid_Osteosarcoma/Breast_Ovarian_Prostate_Testicular_Thyroid_Osteosarcoma_edge.csv,545,4720,"Common Reactome Pathways associated with Hormone Related Cancers (breast, endometrium, ovary, prostate, testis, thyroid and osteosarcoma)",Reactome-Pathways - functional interactions,Reactome,version 81,none,"breast, endometrium, ovary, prostate, testis, thyroid, osteosarcoma",Proteins,200/Disease,STRING db,pathways functional interactions,Cytoscape,"Breast, Endometrium, Ovary, Prostate, Testis, Thyroid, Osteosarcoma Cancer",,,protein,"Associations between various types of cancer, based on the common genes that are associated with an unfavorable prognosis for the cancer types",,,,,,
Disease-Disease Network_1.png,,Disease-Disease cancers/Disease-Disease Network_1.cyjs,NetworkFile/Disease-Disease cancers/Disease-Disease Network_1 default edge.csv,17,122,Cancer types,common genes with unfavorable prognosis for the disease,Human Protein Atlas,21.1,none,,Gene,17,List2Net,disease-disease associations,Cytoscape,Cancer types,Homo Sapiens (human),,Diseases,Protein-Protein interactions of those involved in the type of cancers of the male and female reproductive system,,NumberOfUndirectedEdges,,,,
common_reproductive.png,,Common Male And Female Reproductive System Protein-Protein Interactions/common_reproductive.cyjs,NetworkFile/Common Male And Female Reproductive System Protein-Protein Interactions/common_reproductive.csv,580,11446,Proteins involved in carcinomas of organs in the male and female reproductive system,protein-protein interaction,disgenet,7,score gda >= 0.1,"Cervix carcinoma, endometrial cancer, epithelial ovarian carcinoma, fallopian tube carcinoma, prostate carcinoma",Genes,,STRING,protein-protein interaction,Cytoscape,Cancers of both the male and female reproductive system,Homo Sapiens (human),,Diseases,Protein-Protein interactions of those involved in the type of cancers of the digestive system,,NumberOfUndirectedEdges,,,,
digestive.png,Common genes between cancers of the digestive system/styles.json,Common genes between cancers of the digestive system/digestive.cyjs,NetworkFile/Common genes between cancers of the digestive system/digestive.csv,102,804,Proteins involved in carcinomas of organs in the digestive system,protein-protein interaction,disgenet,7,score gda >= 0.3,"Adenocarcinoma of the large intestine, Esophageal carcinoma, rectum cancer, stomach carcinoma",Genes,,STRING,protein-protein interaction,Cytoscape,Cancers of the digestive system,Homo Sapiens (human),,Diseases,Common genes between cancers of the digestive system,,,,,,
digestive_system.png,Digestive System Protein-Protein Interactions/styles.json,Digestive System Protein-Protein Interactions/digestive_system.cyjs,NetworkFile/Digestive System Protein-Protein Interactions/digestive_system.csv,4,5,Cancers of the digestive system,common genes between cancers,disgenet,7,score gda >= 0.3,"Adenocarcinoma of the large intestine, Esophageal carcinoma, rectum cancer, stomach carcinoma",Diseases ,,List2Net,disease-disease associations,Cytoscape,Cancers of the digestive system,Homo Sapiens (human),,Diseases,Protein-Protein interactions of those involved in the type of cancers of the endocrine system,,NumberOfUndirectedEdges,,,,
endocrine.png,Common genes between cancers of the endocrine system/styles.json,Common genes between cancers of the endocrine system/endocrine.cyjs,NetworkFile/Common genes between cancers of the endocrine system/endocrine.csv,215,1827,Proteins involved in carcinomas of organs in the endocrine system,protein-protein interaction,disgenet,7,score gda >= 0.3,"Adrenal cancer, Anaplastic thyroid carcinoma, Epithelial ovarian carcinoma, Follicular thyroid carcinoma, Hurthle cell carcinoma, Medullary carcinoma of thyroid, Papillary thyroid carcinoma, Pituitary carcinoma",Genes,,STRING,protein-protein interaction,Cytoscape,Cancers of the endocrine system,Homo Sapiens (human),,Diseases,Common genes between cancers of the endocrine system,,,,,,
endocrine_system.png,Endocrine System Protein-Protein Interactions/endocrine_styles.json,Endocrine System Protein-Protein Interactions/endocrine_system.cyjs,NetworkFile/Endocrine System Protein-Protein Interactions/endocrine_system.csv,6,10,Cancers of the endocrine system,common genes between cancers,disgenet,7,score gda >= 0.3,"Adrenal cancer, Anaplastic thyroid carcinoma, Epithelial ovarian carcinoma, Follicular thyroid carcinoma, Hurthle cell carcinoma, Medullary carcinoma of thyroid, Papillary thyroid carcinoma, Pituitary carcinoma",Diseases ,,List2Net,disease-disease associations,Cytoscape,Cancers of the endocrine system,Homo Sapiens (human),,Diseases,Protein-Protein interactions of those involved in the type of cancers of the female reproductive system,,NumberOfUndirectedEdges,,,,
repr_female.png,Common genes between the cancers of the female reproductive system/styles.json,Common genes between the cancers of the female reproductive system/repr_female.cyjs,NetworkFile/Common genes between the cancers of the female reproductive system/repr_female.csv,180,2292,Proteins involved in carcinomas of organs in the female reproductive system,protein-protein interaction,disgenet,7,score gda >= 0.1,"Cervix carcinoma, endometrial cancer, epithelial ovarian carcinoma, fallopian tube carcinoma",Genes,,STRING,protein-protein interaction,Cytoscape,Cancers of the female reproductive system,Homo Sapiens (human),,Diseases,Common genes between cancers of the female reproductive system,,,,,,
Female_Reproductive_System.png,Female Reproductive System Protein-Protein Interactions/styles.json,Female Reproductive System Protein-Protein Interactions/female_reproductive_system.cyjs,NetworkFile/Female Reproductive System Protein-Protein Interactions/Female_Reproductive_System.csv,4,5,Cancers of the female reproductive system,common genes between cancers,disgenet,7,score gda >= 0.1,"Cervix carcinoma, endometrial cancer, epithelial ovarian carcinoma, fallopian tube carcinoma",Diseases ,,List2Net,disease-disease associations,Cytoscape,Cancers of the female reproductive system,Homo Sapiens (human),,Diseases,Protein-Protein interactions of those involved in the type of cancers of the lymphatic system,,NumberOfUndirectedEdges,,,,
lymphatic.png,Common genes between the cancers of the lymphatic system/styles.json,Common genes between the cancers of the lymphatic system/lymphatic.cyjs,NetworkFile/Common genes between the cancers of the lymphatic system/lymphatic.csv,197,1094,Proteins involved in carcinomas of organs in the lymphatic system,protein-protein interaction,disgenet,7,score gda >= 0.3,"Acute lymphocytic leukemia, Acute myeloid leukemia, bone marrow cancer, chronic lymphocytic leukemia, lymphoma, thymic carcinoma, thymoma",Genes,,STRING,protein-protein interaction,Cytoscape,Cancers of the lymphatic system,Homo Sapiens (human),,Diseases,Common genes between cancers of the lymphatic system,,,,,,
lymphatic_system.png,Lymphatic System Protein-Protein Interactions/styles.json,Lymphatic System Protein-Protein Interactions/lymphatic_system.cyjs,NetworkFile/Lymphatic System Protein-Protein Interactions/lymphatic_system.csv,7,10,Cancers of the lymphatic system,common genes between cancers,disgenet,7,score gda >= 0.3,"Acute lymphocytic leukemia, Acute myeloid leukemia, bone marrow cancer, chronic lymphocytic leukemia, lymphoma, thymic carcinoma, thymoma",Diseases ,,List2Net,disease-disease associations,Cytoscape,Cancers of the lymphatic system,Homo Sapiens (human),,Diseases,Protein-Protein interactions of those involved in the type of cancers of both the male and female reproductive system,,NumberOfUndirectedEdges,,,,
all_repr.png,Common genes between the cancers of the male and female reproductive system/styles.json,Common genes between the cancers of the male and female reproductive system/all_repr.cyjs,NetworkFile/Common genes between the cancers of the male and female reproductive system/all_repr.csv,92,1327,Proteins involved in carcinomas of organs in both the male and female reproductive system,protein-protein interaction,disgenet,7,score gda >= 0.1,"Cervix carcinoma, endometrial cancer, epithelial ovarian carcinoma, fallopian tube carcinoma, prostate carcinoma",Genes,,STRING,protein-protein interaction,Cytoscape,Cancers of the male and female reproductive system,Homo Sapiens (human),,Diseases,Common genes between cancers of the male and female reproductive system,,,,,,
all_reproductive_system.png,Male and Female Reproductive System Protein-Protein Interactions/styles.json,Male and Female Reproductive System Protein-Protein Interactions/all_reproductive_system.cyjs,NetworkFile/Male and Female Reproductive System Protein-Protein Interactions/all_reproductive_system.csv,5,9,Cancers of the male and female reproductive system,common genes between cancers,disgenet,7,score gda >= 0.1,"Cervix carcinoma, endometrial cancer, epithelial ovarian carcinoma, fallopian tube carcinoma, prostate cancer",Diseases ,,List2Net,disease-disease associations,Cytoscape,Cancers of the male and female reproductive system,Homo Sapiens (human),,Diseases,Protein-Protein interactions of those involved in the type of cancers of the male reproductive system,,NumberOfUndirectedEdges,,,,
male_reproductive_system.png,Male Reproductive System Protein-Protein Interactions/styles.json,Male Reproductive System Protein-Protein Interactions/male_reproductive_system.cyjs,NetworkFile/Male Reproductive System Protein-Protein Interactions/male_reproductive_system.csv,492,10481,Proteins involved in carcinomas of organs in the male reproductive system,protein-protein interaction,disgenet,7,score gda >= 0.1,Prostate carcinoma,Genes,,STRING,protein-protein interaction,Cytoscape,Cancers of the male reproductive system,Homo Sapiens (human),,Diseases,Protein-Protein interactions of those involved in the type of cancers of the urinary system,,,,,,
urinary.png,Common genes between cancers of the urinary system/styles.json,Common genes between cancers of the urinary system/urinary.cyjs,NetworkFile/Common genes between cancers of the urinary system/urinary.csv,126,527,Proteins involved in carcinomas of organs in the urinary system,protein-protein interaction,disgenet,7,score gda >= 0.3,"Carcinoma of bladder, Kidney carcinoma",Genes,,STRING,protein-protein interaction,Cytoscape,Cancers of the urinary system,Homo Sapiens (human),,Diseases,Common genes between cancers of the urinary system,,,,,,
urinary_system.png,Urinary System Protein-Protein Interactions/styles.json,Urinary System Protein-Protein Interactions/urinary_system.cyjs,NetworkFile/Urinary System Protein-Protein Interactions/urinary_system.csv,2,1,Cancers of the urinary system,common genes between cancers,disgenet,7,score gda >= 0.3,"Carcinoma of bladder, Kidney carcinoma",Diseases ,,List2Net,disease-disease associations,Cytoscape,Cancers of the urinary system,Homo Sapiens (human),,disease,Associations between various types of carcinomas,,,,,,
Carcinoma.png,,Carcinoma/carcinoma.cyjs,NetworkFile/Carcinoma/carcinoma.csv,19,127,Carcinoma,disease-disease interaction,disgenet,7,none,,Gene,19,R,disease-disease associations,Cytoscape,Carcinoma,Homo Sapiens (human),,disease,Associations between various cardiovascular system diseases,,,,,,
cardiovascular.png,,cardiovascular/cardiovascular.cyjs,NetworkFile/cardiovascular/cardiovascular.csv,16,58,Cardiovascular ,disease-disease interaction,disgenet,7,none,,Gene,16,R,disease-disease associations,Cytoscape,Cardiovascular ,Homo Sapiens (human),,disease,Associations between various types of diseases of the cardiovascular system,,,,,,
cardiovascular system.png,Cardiovascular system diseases/cardiovascular styles.json,Cardiovascular system diseases/cardiovascular system.cyjs,NetworkFile/Cardiovascular system diseases/cardiovascular system default edge.csv,15,104,Cardiovascular system diseases,disease-disease interaction,disgenet,7,none,"Angina Pectoris, Aortic Aneurysm, Aortic Valve Stenosis, Atherosclerosis, Bicuspid aortic valve, Cardiac Arrhythmia, Deep Vein Thrombosis, Heart failure, Hypotension, Mitral Valve Prolapse Syndrome, Mitral Valve Stenosis, Peripheral Arterial Diseases, Tetralogy of Fallot, Tricuspid Atresia, Venous Thromboembolism",Gene,15,List2Net,disease-disease associations,Cytoscape,Cardiovascular system diseases,,,protein,Associations between genes that are associated with an unfavorable prognosis in Cervical cancer,,,,,,
Cervical.png,,Cervical/Cervical.cyjs,NetworkFile/Cervical/Cervical default edge.csv,166,420,Unfavorable prognostic genes in Cervical cancer,gene-gene interaction,Human Protein Atlas,21.1,none,,Gene,166,STRING db,protein-protein associations,Cytoscape,Cervical cancer,C. Elegans,,neurons and synapses,Chemical synapses of the hermaphrodite C. Elegans,OutDegree,Type of neuron,,,,
herm_chem.png,Chemical Synapses of the Hermaphrodite C. Elegans/styles.json,Chemical Synapses of the Hermaphrodite C. Elegans/herm_chem.cyjs,NetworkFile/Chemical Synapses of the Hermaphrodite C. Elegans/herm_chem_edgelist.csv,357,3701,"Neurons of the hermaphrodite C. Elegans, with color depending on their type/function",chemical synapse between those two neurons,Worm Wiring,,,,Corrected adjacency files,,R,chemical synapse between those two neurons,Cytoscape,Chemical Synapses,C. Elegans,,neurons and synapses,Chemical synapses of the male C. Elegans,OutDegree,Type of neuron,,,,
male_chem.png,Chemical Synapses of the Male C. Elegans/styles.json,Chemical Synapses of the Male C. Elegans/male_chem.cyjs,NetworkFile/Chemical Synapses of the Male C. Elegans/male_chem_edgelist.csv,328,3531,"Neurons of the male C. Elegans, with color depending on their type/function",electrical junction between those two neurons,Worm Wiring,,,,Corrected adjacency files,,R,chemical synapse between those two neurons,Cytoscape,Chemical Synapses,Homo Sapiens (human),,disease,Associations between several Chromosomal Disorders,,,weight (number of common genes),,,
chromosomal disorders disease-disease.png,Chromosomal disorders disease-disease/chromosomal disease-disease.json,Chromosomal disorders disease-disease/chromosomal disorders disease-disease.cyjs,NetworkFile/Chromosomal disorders disease-disease/chromosomal disorders disease-disease default edge.csv,7,18,Chromosomal disorders,disease-disease interaction,disgenet,7,none ,"Down Syndrome, Fragile X Syndrome, Klinefelter Syndrome, Trisomy 13 Syndrome, Trisomy 18 Syndrome, Trisomy X Syndrome, Turner Syndrome",Genes ,7,List2Net,disease-disease associations,Cytoscape,Chromosomal Disorders,Homo Sapiens (human),,Genes,Associations between genes of several Chromosomal Disorders,,Disorder,,,,
chromosomal disorders.png,Chromosomal disorders genes-genes/styles.json,Chromosomal disorders genes-genes/chromosomal disorders.cyjs,NetworkFile/Chromosomal disorders genes-genes/chromosomal disorders default  edge.csv,1070,13510,Chromosomal disorders,gene-gene interaction,disgenet,7,none ,"Down Syndrome, Fragile X Syndrome, Klinefelter Syndrome, Trisomy 13 Syndrome, Trisomy 18 Syndrome, Trisomy X Syndrome, Turner Syndrome",Genes,1070,STRING db,Gene-gene interactions,Cytoscape,Chromosomal Disorders,,,protein,Associations between genes that are associated with an unfavorable prognosis in Colorectal cancer,,,,,,
colorectal gene drugs.png,Colorectal drugs/Colorectal styles.json,Colorectal drugs/colorectal gene drugs.cyjs,NetworkFile/Colorectal drugs/colorectal gene drugs.csv,144,178,Unfavorable prognostic genes in Colorectal cancer,gene-gene interaction,Human Protein Atlas,21.1,none,,Gene,144,STRING db,protein-protein associations,Cytoscape,Colorectal Cancer,Homo Sapiens (human),,"disease, drugs",Interactions between genes that are associated with an unfavorable prognosis in Colorectal cancer and between drugs and these genes,,"Genes: Gray, Drugs: Pink",,,,
Colorectal.png,,Colorectal/Colorectal.cyjs,NetworkFile/Colorectal/Colorectal default edge.csv,515,969,Unfavorable prognostic genes in Colorectal cancer and Drugs associated with these genes,"gene-gene interaction, gene-drug interaction","Human Protein Atlas, Drugbank","Human Protein Atlas: 21.1, SIGNOR 3.0:21.1, CyTargetLinker: 02/08/2022","SIGNOR 3.0: homo sapiens, connect, add link proteins, CyTargetLinker: direction:BOTH",,"Genes, Drugs",515,"SIGNOR 3.0, CyTargetLinker","gene-gene interactions, drug interactions",Cytoscape,Colorectal Cancer,Homo Sapiens (human),,Diseases,Disease-Disease associations based on common symptoms and common genes/PPIs,,,"The higher the symptom similarity score, the thicker the edge",Continuous mapping where edges with minimum symptoms similarity score are coloured purple and edges with maximum symptoms similarity score are coloured yellow,"This network is a visualization of the Human Symptoms-Disease Network (Zhou, X.Z. et al. Human symptoms-disease network. Nat. Commun. 5:4212 doi: 10.1038/ncomms5212 (2014)).",
common symptoms diseases.png,Disease-Disease based on symptoms/common symptoms diseases styles.json,Disease-Disease based on symptoms/common symptoms diseases.cyjs,NetworkFile/Disease-Disease based on symptoms/common symptoms diseases default edge.csv,1596,133106,Diseases,Disease-Disease association based on common symptoms and common genes/PPIs,HSDN,Year of Publication: 2014,none ,None,Diseases,1596,Method Published: https://www.nature.com/articles/ncomms5212#MOESM1042,Common symptoms and common genes/PPIs between diseases,Cytoscape,D-D Common Symptoms,Homo Sapiens (human),,disease,Interactions between genes that are associated with different syndromes,,,,,,
syndrome.png,,Syndromes/syndromes.cyjs,NetworkFile/Syndromes/syndromes.csv,13,34,Syndromes,disease-disease interaction,disgenet,7,none ,,Genes,,R,disease-disease associations,Cytoscape,Different Syndromes,Homo Sapiens (human),,disease,Associations between various types of digestive diseases,,,,,,
digestive diseases.png,Digestive diseases/digestive diseases styles.json,Digestive diseases/digestive diseases.cyjs,NetworkFile/Digestive diseases/digestive diseases default edge.csv,21,144,Digestive diseases,disease-disease interaction,disgenet,7,none,"Barret Esophagus, Celiac Disease, Chronic Disease, Chronic colitis, Crohn Disease, Diverticulitis, Fecal Incontinence, Gastritis, Gastroenteritis, Gastroesophageal Reflux Disease, Hermorrhoids, Hiatal Hernia, Hirschsprung Disease, Infectious colitis, Irritable Bowel Syndrome, Ischemic Colitis, Lactose Intolerance, Ulcerative Colitis, Whipple Disease, Zollinger-Ellison syndrome, Anal Fissure, Anal Fistula ",Gene,21,List2Net,disease-disease associations,Cytoscape,Digestive diseases,C. Elegans,,neurons and synapses,Electrical junctions of the hermaphrodite C. Elegans,NumberOfUndirectedEdges,Type of neuron,,,,
herm_elec.png,Electrical Junctions of the Hermaphrodite C. Elegans/styles.json,Electrical Junctions of the Hermaphrodite C. Elegans/herm_elec.cyjs,NetworkFile/Electrical Junctions of the Hermaphrodite C. Elegans/herm_elec_edgelist.csv,315,2056,"Neurons of the hermaphrodite C. Elegans, with color depending on their type/function",electrical junction between those two neurons,Worm Wiring,,,,Corrected adjacency files,,R,electrical junction between those two neurons,Cytoscape,Electrical Synapses,C. Elegans,,neurons and synapses,Electrical junctions of the male C. Elegans,NumberOfUndirectedEdges,Type of neuron,,,,
male_elec.png,Electrical Junctions of the Male C. Elegans/styles.json,Electrical Junctions of the Male C. Elegans/male_elec.cyjs,NetworkFile/Electrical Junctions of the Male C. Elegans/male_elec_edgelist.csv,300,2363,"Neurons of the male C. Elegans, with color depending on their type/function",chemical synapse between those two neurons,Worm Wiring,,,,Corrected adjacency files,,R,chemical synapse between those two neurons,Cytoscape,Electrical Synapses,,,protein,Associations between genes that are associated with an unfavorable prognosis in Endometrial cancer,,,,,,
Endometrial gene drugs.png,Endometrial gene drugs/Endometrial gene drugs styles.json,Endometrial gene drugs/Endometrial gene drugs.cyjs,NetworkFile/Endometrial gene drugs/Endometrial gene drugs.csv,701,2667,Unfavorable prognostic genes in Endometrial cancer,gene-gene interaction,Human Protein Atlas,21.1,none,,Gene,701,STRING db,protein-protein associations,Cytoscape,Endometrial Cancer,Homo Sapiens (human),,"disease, drugs",Interactions between genes that are associated with an unfavorable prognosis in Endometrial cancer and between drugs and these genes,,"Genes: Gray, Drugs: Pink",,,,
Endometrial.png,,Endometrial/Endometrial.cyjs,NetworkFile/Endometrial/Endometrial default edge.csv,1869,6298,Unfavorable prognostic genes in Endometrial cancer and Drugs associated with these genes,"gene-gene interaction, gene-drug interaction","Human Protein Atlas, Drugbank","Human Protein Atlas: 21.1, SIGNOR 3.0:21.1, CyTargetLinker: 02/08/2022","SIGNOR 3.0: homo sapiens, connect, add link proteins, CyTargetLinker: direction:BOTH",,"Genes, Drugs",1869,"SIGNOR 3.0, CyTargetLinker","gene-gene interactions, drug interactions",Cytoscape,Endometrial cancer,Homo Sapiens (human),,Molecular Functions,Common Molecular Functions based on proteins that ascociated with Endometrium and Ovarian Cancer,,,,,,
Endometrium_Ovarian_GO-Molecular Functions.png,Endometrium_Ovarian_GO-Molecular Functions/Endometrium_Ovarian_GO-Molecular Functions_style.json,Endometrium_Ovarian_GO-Molecular Functions/Endometrium_Ovarian_GO-Molecular Functions.cyjs,NetworkFile/Endometrium_Ovarian_GO-Molecular Functions/Endometrium_Ovarian_GO-Molecular Functions_edge.csv,364,1724,Common GO-Molecular Functions associated with Endometrium and Ovarian cancer,GO-Molecular Functions - functional interactions,UniprotKB,2022_04,none ,"Endometrium, Ovarian Cancer",Proteins,200/Disease,STRING db,Molecular Functions - interactions,Cytoscape,Endometrium and Ovarian Cancer,Homo Sapiens (human),,Genes,Genes associated with MS and that have common subcellular location,,,,,,
gene-gene.png,,MS/gene-gene.cyjs,NetworkFile/MS/gene-gene.csv,38,136,Genes with common subcellular locations,gene-gene,Human Protein Atlas,,,,Genes,,R,gene-gene,Cytoscape,Genes that are associated with MS,Homo Sapiens (human),,locations,Common genes expressed in Actin filaments and in other subcellular locations,,,,,,
